qid,context,question,answer
foody_1,"để mình review chi nhánh q 3 trước rồi qua nói chi nhánh q 5 sau
- giá : rẻ
- nhân viên : tay nghề ổn , nhưng chỉ với khách quen và tip cao
- cách phục vụ : hời hợt , spa có vài khách mà kêu hết chỗ rồi , bắt mình đợi cả tiếng . lúc đi lúc về nvien lễ tân qua loa không thèm chào hỏi
nhưng so với q 5 thì còn tốt chán
",Khách hàng nhận xét về giá thành như thế nào?,rẻ
foody_2,"để mình review chi nhánh q 3 trước rồi qua nói chi nhánh q 5 sau
- giá : rẻ
- nhân viên : tay nghề ổn , nhưng chỉ với khách quen và tip cao
- cách phục vụ : hời hợt , spa có vài khách mà kêu hết chỗ rồi , bắt mình đợi cả tiếng . lúc đi lúc về nvien lễ tân qua loa không thèm chào hỏi
nhưng so với q 5 thì còn tốt chán
",Trình độ tay nghề của nhân viên như thế nào?,ổn
foody_3,"để mình review chi nhánh q 3 trước rồi qua nói chi nhánh q 5 sau
- giá : rẻ
- nhân viên : tay nghề ổn , nhưng chỉ với khách quen và tip cao
- cách phục vụ : hời hợt , spa có vài khách mà kêu hết chỗ rồi , bắt mình đợi cả tiếng . lúc đi lúc về nvien lễ tân qua loa không thèm chào hỏi
nhưng so với q 5 thì còn tốt chán
",Thái độ phục vụ của nhân viên như thế nào?,hời hợt
foody_4,"hqua nhóm mình 6ng ăn ở đây và có vài nxet như thế này :
- thái độ phục vụ : chị chủ quán thì rất nhiệt tình hiếu khách còn nhân viên thì không .
- về đồ ăn thì theo mình là k có gì đặc biệt , món gì cũng nhàn nhạt , miến japchae thì rất mỡ và nguội , gimbap nhạt với sốt chấm ko ngon , thịt nướng ướp ko ngon vì thấy toàn vị ngọt , có cơm trộn với canh kimchi ăn được .
- giá thì giống như các quán đồ Hàn khác nhưng chất lượng lại không bằng .
- thêm nữa là quán hơi bụi bặm .
",Nhận xét của khách hàng là gì về thái độ phục vụ của cửa hàng?,chị chủ quán thì rất nhiệt tình hiếu khách còn nhân viên thì không
foody_5,"hqua nhóm mình 6ng ăn ở đây và có vài nxet như thế này :
- thái độ phục vụ : chị chủ quán thì rất nhiệt tình hiếu khách còn nhân viên thì không .
- về đồ ăn thì theo mình là k có gì đặc biệt , món gì cũng nhàn nhạt , miến japchae thì rất mỡ và nguội , gimbap nhạt với sốt chấm ko ngon , thịt nướng ướp ko ngon vì thấy toàn vị ngọt , có cơm trộn với canh kimchi ăn được .
- giá thì giống như các quán đồ Hàn khác nhưng chất lượng lại không bằng .
- thêm nữa là quán hơi bụi bặm .
",Khách hàng nghĩ gì về giá thành của các món ăn với chất lượng mà quán mang lại?,giá thì giống như các quán đồ Hàn khác nhưng chất lượng lại không bằng
foody_6,"hqua nhóm mình 6ng ăn ở đây và có vài nxet như thế này :
- thái độ phục vụ : chị chủ quán thì rất nhiệt tình hiếu khách còn nhân viên thì không .
- về đồ ăn thì theo mình là k có gì đặc biệt , món gì cũng nhàn nhạt , miến japchae thì rất mỡ và nguội , gimbap nhạt với sốt chấm ko ngon , thịt nướng ướp ko ngon vì thấy toàn vị ngọt , có cơm trộn với canh kimchi ăn được .
- giá thì giống như các quán đồ Hàn khác nhưng chất lượng lại không bằng .
- thêm nữa là quán hơi bụi bặm .
",Vấn đề vệ sinh ở quán như thế nào?,hơi bụi bặm
foody_7,"Tối T6 hàng tuần , tại YOLO quán có tổ chức diễn kịch do Nhóm kịch "" Hoa hướng dương "" biểu diễn ( trc đây nhóm thường diễn tại cafe Bệt - Ngô Thời Nhiệm ) . Giá vé 79k ( đã bao gồm 1 phần nước tự chọn ) ! Khong gian cực kỳ ấm cúng , nghệ thuật . Phải nói rằng khán phòng kịch ở đây , có thể là ok nhất trong các quạn kịch cafe mình đã xem từ đó đến nay ! ! !
",Tại quán có sự kiện gì đặc biệt khiến cho khách hàng cảm thấy thích thú?,tổ chức diễn kịch 
foody_8,"Tối T6 hàng tuần , tại YOLO quán có tổ chức diễn kịch do Nhóm kịch "" Hoa hướng dương "" biểu diễn ( trc đây nhóm thường diễn tại cafe Bệt - Ngô Thời Nhiệm ) . Giá vé 79k ( đã bao gồm 1 phần nước tự chọn ) ! Khong gian cực kỳ ấm cúng , nghệ thuật . Phải nói rằng khán phòng kịch ở đây , có thể là ok nhất trong các quạn kịch cafe mình đã xem từ đó đến nay ! ! !
",Giá vé cho buổi nhạc kịch tại quán là bao nhiêu?,79k
foody_9,"Tối T6 hàng tuần , tại YOLO quán có tổ chức diễn kịch do Nhóm kịch "" Hoa hướng dương "" biểu diễn ( trc đây nhóm thường diễn tại cafe Bệt - Ngô Thời Nhiệm ) . Giá vé 79k ( đã bao gồm 1 phần nước tự chọn ) ! Khong gian cực kỳ ấm cúng , nghệ thuật . Phải nói rằng khán phòng kịch ở đây , có thể là ok nhất trong các quạn kịch cafe mình đã xem từ đó đến nay ! ! !
",Người dùng đánh giá như thế nào về không gian ở quán?,"cực kỳ ấm cúng , nghệ thuật "
foody_10,"Tối T6 hàng tuần , tại YOLO quán có tổ chức diễn kịch do Nhóm kịch "" Hoa hướng dương "" biểu diễn ( trc đây nhóm thường diễn tại cafe Bệt - Ngô Thời Nhiệm ) . Giá vé 79k ( đã bao gồm 1 phần nước tự chọn ) ! Khong gian cực kỳ ấm cúng , nghệ thuật . Phải nói rằng khán phòng kịch ở đây , có thể là ok nhất trong các quạn kịch cafe mình đã xem từ đó đến nay ! ! !
",Khách hàng đánh giá quán như thế nào khi so với các quán khác?,ok nhất trong các quạn kịch 
